PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320343, -117.1818897, 54, 307, 'Images/RouteBus_54_310_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:43:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320343, -117.1818897, 54, 307, 'Images/RouteBus_54_310_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:43:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320343, -117.1818897, 54, 307, 'Images/RouteBus_54_310_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:43:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320343, -117.1818897, 54, 307, 'Images/RouteBus_54_310_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:43:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320343, -117.1818897, 54, 307, 'Images/RouteBus_54_310_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:43:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320343, -117.1818897, 54, 307, 'Images/RouteBus_54_310_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:43:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320737, -117.1820363, 54, 290, 'Images/RouteBus_54_290_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:45:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320737, -117.1820363, 54, 290, 'Images/RouteBus_54_290_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:45:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320737, -117.1820363, 54, 290, 'Images/RouteBus_54_290_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:45:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320737, -117.1820363, 54, 290, 'Images/RouteBus_54_290_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:45:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320737, -117.1820363, 54, 290, 'Images/RouteBus_54_290_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:45:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320737, -117.1820363, 54, 290, 'Images/RouteBus_54_290_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:45:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320737, -117.1820363, 54, 290, 'Images/RouteBus_54_290_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:45:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320737, -117.1820363, 54, 290, 'Images/RouteBus_54_290_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:45:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320737, -117.1820363, 54, 290, 'Images/RouteBus_54_290_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:45:37 PM')]);
