PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7194845, -117.1640297, 59, 183, 'Images/RouteBus_59_180_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:20:45 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7194845, -117.1640297, 59, 183, 'Images/RouteBus_59_180_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:20:45 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7173653, -117.1650135, 59, 204, 'Images/RouteBus_59_200_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:21:14 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7173653, -117.1650135, 59, 204, 'Images/RouteBus_59_200_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:21:14 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7173653, -117.1650135, 59, 204, 'Images/RouteBus_59_200_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:21:14 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7173653, -117.1650135, 59, 204, 'Images/RouteBus_59_200_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:21:14 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7173653, -117.1650135, 59, 204, 'Images/RouteBus_59_200_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:21:14 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7153702, -117.1653003, 59, 157, 'Images/RouteBus_59_160_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:21:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7153702, -117.1653003, 59, 157, 'Images/RouteBus_59_160_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:21:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.715151, -117.1651512, 59, 157, 'Images/RouteBus_59_160_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:21:43 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.715151, -117.1651512, 59, 157, 'Images/RouteBus_59_160_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:21:43 PM')]);
