PlotBusLocations([new SmiTransitVehicleLocation('312', 46.717503, -117.1649545, 60, 199, 'Images/RouteBus_60_200_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:11:20 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7164785, -117.1656203, 60, 199, 'Images/RouteBus_60_200_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:11:47 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7164785, -117.1656203, 60, 199, 'Images/RouteBus_60_200_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:11:47 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7164785, -117.1656203, 60, 199, 'Images/RouteBus_60_200_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:11:47 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7153147, -117.1652673, 60, 156, 'Images/RouteBus_60_160_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:12:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7150092, -117.165066, 60, 158, 'Images/RouteBus_60_160_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:12:07 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7150092, -117.165066, 60, 158, 'Images/RouteBus_60_160_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:12:07 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.713984, -117.1650687, 60, 201, 'Images/RouteBus_60_200_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:12:16 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7133048, -117.1659587, 60, 240, 'Images/RouteBus_60_240_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:12:24 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7131877, -117.1664353, 60, 255, 'Images/RouteBus_60_260_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:12:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7131877, -117.1664353, 60, 255, 'Images/RouteBus_60_260_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:12:27 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7132943, -117.1681155, 60, 279, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:12:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7134608, -117.1694698, 60, 279, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:12:45 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7134608, -117.1694698, 60, 279, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:12:45 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7134608, -117.1694698, 60, 279, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:12:45 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7134608, -117.1694698, 60, 279, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:12:45 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7137857, -117.1722263, 60, 281, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:13:02 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7137857, -117.1722263, 60, 281, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:13:02 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7140842, -117.1739758, 60, 287, 'Images/RouteBus_60_290_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:13:14 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7140842, -117.1739758, 60, 287, 'Images/RouteBus_60_290_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:13:14 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7140842, -117.1739758, 60, 287, 'Images/RouteBus_60_290_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:13:14 PM')]);
